locus,30m,2h,4h,8h,24h
At5g26280,0.17,-0.29,-1.02,-0.16,-0.86
At3g51660,0.10,0.75,1.47,1.80,2.27
At4g15390,0.08,-0.44,-0.70,-1.39,-1.54
At1g76160,0.09,-0.26,-0.75,-1.08,-0.46
At5g51550,0.08,-0.27,-0.91,-0.94,-0.90
At3g20370,0.07,-0.20,0.35,-0.94,-1.06
At1g70280,0.04,0.00,-0.32,-0.90,-0.39
At5g26260,0.04,-0.18,0.14,-0.78,-0.99
At3g54600,0.18,-0.12,0.04,-0.77,-0.27
At2g43445,-0.05,0.07,0.19,0.73,-0.39
At4g34120,0.11,0.43,0.46,0.77,0.86
At2g23680,0.10,0.21,0.77,0.88,1.12
At5g62720,0.14,0.42,-0.34,0.91,0.46
At1g23890,-0.08,0.35,0.61,1.26,0.40
At4g24160,-0.01,0.40,0.59,1.52,1.25
At3g44190,0.03,0.21,0.95,2.05,2.01
At5g22140,0.30,0.02,0.76,2.15,1.97
At3g28270,-0.26,0.46,0.25,-0.57,-1.26
At4g24930,0.10,-0.02,0.00,-0.50,-0.78
At4g34290,0.18,0.04,-0.25,-0.57,-0.74
At1g23880,-0.33,0.11,0.11,0.66,0.78
At2g15240,0.00,-0.02,0.03,0.11,1.02
At5g18480,-0.17,0.21,-0.15,0.53,1.05
At1g36622,-0.11,0.07,0.65,0.62,1.12
At1g14870,-0.03,0.51,0.03,0.48,1.76
At1g70800,0.64,1.23,1.91,1.97,1.19
At2g17740,-0.03,-0.15,0.66,0.20,1.67
At3g62530,0.03,0.07,0.04,-0.32,-0.81
At2g05530,-0.04,-0.19,0.22,0.85,1.73
At1g07135,-0.27,-0.07,0.07,0.26,0.66
At5g55750,0.01,-0.24,0.29,0.95,1.62
At3g54580,-0.15,0.35,-0.61,-0.91,-0.82
At5g45350,-0.23,-0.30,-0.24,0.15,0.84
At4g27657,0.70,1.26,1.10,1.75,0.74
At4g39670,0.73,1.26,1.01,1.42,2.13
At2g47950,1.49,2.27,2.27,2.65,1.91
At1g34630,-0.19,1.06,0.52,0.42,0.36
At1g74450,0.41,1.09,1.16,1.06,1.10
At3g21520,0.07,1.10,0.70,0.92,0.97
At5g12960,0.01,1.12,0.88,0.66,0.53
At1g76980,0.51,1.15,1.67,1.78,1.85
At3g04300,0.37,1.25,1.73,2.08,2.25
At2g27385,-0.01,-0.10,-1.40,-0.57,-1.00
At5g25460,-0.03,-0.55,-1.30,-1.72,-1.41
At4g29905,0.00,0.29,-1.16,-0.76,-1.83
At1g64370,-0.15,-0.22,-1.01,-0.77,-0.16
At3g49570,0.17,0.24,1.04,0.68,0.65
At3g60320,0.03,-0.18,-0.72,-1.10,-0.77
At1g29560,0.15,-0.38,-0.45,-1.00,-0.93
At5g38980,-0.15,-0.03,-0.30,-0.96,-1.09
At5g44580,0.01,-0.32,-0.33,-0.81,-0.44
At5g01015,0.00,-0.36,-0.60,-0.78,-1.03
At1g29050,-0.04,-0.06,-0.03,-0.77,-0.44
At1g15415,0.00,0.03,0.28,0.74,0.32
At2g18680,0.19,0.78,0.19,0.75,1.97
At2g12557,0.04,0.20,0.40,0.81,0.59
At3g51130,-0.16,-0.14,-0.10,0.83,0.67
At1g76070,0.06,0.19,0.24,0.90,0.68
At3g14000,-0.05,0.13,-0.01,0.91,0.12
At4g17840,-0.28,0.10,-0.62,0.99,0.52
At2g34070,-0.19,0.09,0.13,0.99,0.03
At1g05575,0.09,0.45,0.57,1.21,0.26
At1g72490,-0.09,0.20,0.02,1.25,1.10
At1g18510,0.15,0.42,0.41,1.26,0.56
At2g23110,0.45,0.78,0.51,1.87,2.04
At1g18290,-0.03,-0.28,-0.82,-0.09,-0.83
At5g36960,0.18,-0.11,0.22,0.56,0.68
At5g01750,0.16,0.06,-0.56,0.20,0.72
At2g46390,0.07,0.22,0.60,0.20,0.73
At2g37940,0.00,0.29,0.38,0.52,0.79
At1g65845,-0.18,-0.51,0.00,-0.27,0.81
At3g56260,0.08,0.23,0.62,0.47,0.88
At2g37110,0.01,-0.03,-0.27,0.26,0.94
At3g20510,0.00,0.38,0.59,0.20,0.96
At3g13950,0.01,-0.03,-0.01,0.37,1.12
At2g32190,0.11,0.18,0.45,0.53,1.33
At5g25250,0.07,0.00,0.28,0.40,1.38
At5g25260,-0.10,-0.06,0.30,0.04,2.07
